epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.358,2.12129,2.82279,1.17309,0.64288,0.51273,0.58578,0.29899,1.67653,1.3606,0.99573,0.000554555,0.000554555,0.000554555
2,267.579,1.56684,1.60074,0.97878,0.71064,0.54515,0.63564,0.41568,1.20841,1.23263,0.91893,0.00108824,0.00108824,0.00108824
3,389.254,1.48124,1.45616,0.96242,0.72785,0.53953,0.64017,0.41524,1.2282,1.21925,0.92203,0.00159992,0.00159992,0.00159992
4,524.929,1.37619,1.36453,0.93979,0.77466,0.56351,0.67693,0.47047,1.06363,1.09371,0.87987,0.00156798,0.00156798,0.00156798
