epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1011,2.79011,4.17002,1.45949,0.58198,0.07872,0.26575,0.07756,2.33825,2.80234,1.17899,0.00055011,0.00055011,0.00055011
2,58.9477,1.98464,2.43726,1.09253,0.56077,0.44306,0.48213,0.22084,1.79029,1.81417,1.02146,0.00105104,0.00105104,0.00105104
3,83.9068,1.78198,2.11759,1.03213,0.50536,0.44375,0.46884,0.14362,2.35576,1.56695,1.1619,0.00149696,0.00149696,0.00149696
4,109.254,1.72625,1.87172,1.0161,0.5942,0.42282,0.50464,0.25951,1.60425,1.51544,0.98024,0.00141945,0.00141945,0.00141945
5,134.799,1.56482,1.6639,0.98409,0.63477,0.45969,0.53882,0.2072,2.13659,1.50018,1.0747,0.00133693,0.00133693,0.00133693
6,160.232,1.53785,1.57961,0.96526,0.62652,0.50685,0.57133,0.38374,1.22544,1.28545,0.91325,0.00125442,0.00125442,0.00125442
7,185.922,1.47287,1.51634,0.96163,0.6498,0.51482,0.59185,0.37145,1.20964,1.23253,0.89788,0.0011719,0.0011719,0.0011719
8,211.476,1.52034,1.49334,0.96996,0.69168,0.47285,0.56577,0.37726,1.22788,1.40567,0.91821,0.00108938,0.00108938,0.00108938
9,237.199,1.39075,1.3957,0.94569,0.64162,0.52098,0.60955,0.40304,1.15246,1.21714,0.89328,0.00100687,0.00100687,0.00100687
10,263.084,1.34411,1.35157,0.93231,0.6707,0.5145,0.61826,0.4203,1.12463,1.20169,0.89071,0.000924352,0.000924352,0.000924352
11,384.083,1.25741,1.31181,0.94371,0.64907,0.56658,0.62691,0.43448,1.10675,1.17375,0.87839,0.000841835,0.000841835,0.000841835
12,408.039,1.17495,1.22921,0.92505,0.68638,0.50551,0.61905,0.43124,1.05005,1.16464,0.87939,0.000759318,0.000759318,0.000759318
13,432.582,1.15382,1.22428,0.92123,0.65559,0.57492,0.622,0.42673,1.10349,1.1828,0.87287,0.000676802,0.000676802,0.000676802
14,456.938,1.17015,1.23876,0.91947,0.66936,0.56489,0.63906,0.44677,1.0268,1.07514,0.86221,0.000594286,0.000594286,0.000594286
15,481.572,1.12382,1.18042,0.91504,0.73181,0.54894,0.65264,0.4677,0.97527,1.06028,0.8636,0.000511769,0.000511769,0.000511769
16,506.636,1.07671,1.13883,0.90052,0.70303,0.55832,0.64354,0.4723,0.96367,1.08114,0.85881,0.000429253,0.000429253,0.000429253
17,531.332,1.0513,1.10229,0.91172,0.72481,0.55833,0.65788,0.47957,0.96868,1.03004,0.8551,0.000346736,0.000346736,0.000346736
18,555.745,1.02227,1.06985,0.89692,0.73716,0.54168,0.66417,0.48713,0.94927,1.04985,0.85329,0.00026422,0.00026422,0.00026422
19,580.65,1.01855,1.04933,0.89438,0.73439,0.53365,0.65969,0.48863,0.93477,1.03047,0.85355,0.000181703,0.000181703,0.000181703
20,606.531,0.96994,1.00799,0.8881,0.80733,0.52085,0.67024,0.50116,0.90991,0.99256,0.85022,9.91865e-05,9.91865e-05,9.91865e-05
