epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.816,2.12129,2.82279,1.17309,0.64288,0.51273,0.58578,0.29899,1.67653,1.3606,0.99573,0.000554555,0.000554555,0.000554555
2,255.922,1.55968,1.5895,0.97684,0.70654,0.52475,0.61091,0.32983,1.59849,1.30737,0.97195,0.00105527,0.00105527,0.00105527
3,379.695,1.47325,1.4424,0.95963,0.70717,0.51548,0.61214,0.38228,1.28991,1.33248,0.92089,0.00150097,0.00150097,0.00150097
4,504.338,1.36392,1.35581,0.93577,0.73433,0.56643,0.67919,0.46925,1.10276,1.10701,0.87998,0.00141945,0.00141945,0.00141945
5,629.934,1.30194,1.27372,0.91989,0.7602,0.58889,0.69755,0.49712,1.05207,1.05688,0.87789,0.00133693,0.00133693,0.00133693
6,756.753,1.24479,1.22561,0.91177,0.74668,0.59916,0.70023,0.49832,1.02597,1.05669,0.87347,0.00125442,0.00125442,0.00125442
7,882.739,1.21516,1.17411,0.90435,0.76792,0.61504,0.72415,0.50501,1.08931,0.99279,0.87515,0.0011719,0.0011719,0.0011719
8,1008.1,1.18993,1.15307,0.89807,0.7589,0.63699,0.73303,0.52761,1.06236,0.95562,0.86919,0.00108938,0.00108938,0.00108938
9,1133.79,1.175,1.12781,0.89682,0.73744,0.62327,0.71546,0.51329,1.02439,0.95516,0.86475,0.00100687,0.00100687,0.00100687
10,1259.96,1.1334,1.09402,0.88886,0.7667,0.65125,0.74297,0.55761,0.89481,0.90641,0.8499,0.000924352,0.000924352,0.000924352
11,1416.02,1.05352,1.03289,0.89477,0.77188,0.64242,0.74678,0.54726,0.92579,0.91654,0.85394,0.000841835,0.000841835,0.000841835
12,1539.25,1.01585,1.0123,0.88714,0.78096,0.6659,0.76098,0.58427,0.82705,0.84896,0.84404,0.000759318,0.000759318,0.000759318
13,1663.92,0.97588,0.97404,0.88305,0.77888,0.65776,0.75707,0.58303,0.81872,0.84639,0.84096,0.000676802,0.000676802,0.000676802
14,1788.36,0.94327,0.94697,0.87555,0.79408,0.64971,0.76524,0.59474,0.79053,0.82726,0.83723,0.000594286,0.000594286,0.000594286
15,1912.23,0.93858,0.93237,0.87182,0.77447,0.66627,0.76091,0.59831,0.77863,0.82344,0.83443,0.000511769,0.000511769,0.000511769
16,2036.44,0.9134,0.90003,0.86766,0.81182,0.66855,0.7721,0.60334,0.77671,0.803,0.83705,0.000429253,0.000429253,0.000429253
17,2160.77,0.91056,0.87668,0.86916,0.80266,0.6629,0.7725,0.60542,0.76942,0.7925,0.836,0.000346736,0.000346736,0.000346736
18,2285.13,0.88331,0.85752,0.86151,0.82061,0.65712,0.77218,0.60778,0.76098,0.79731,0.83359,0.00026422,0.00026422,0.00026422
19,2409.14,0.86748,0.83523,0.85976,0.82192,0.67526,0.78805,0.61714,0.77592,0.76259,0.83089,0.000181703,0.000181703,0.000181703
20,2534.91,0.85307,0.81728,0.86054,0.80564,0.69103,0.79216,0.6287,0.74219,0.74757,0.82944,9.91865e-05,9.91865e-05,9.91865e-05
