epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.699,1.60707,1.94503,1.0171,0.80952,0.62017,0.73953,0.53603,1.06471,1.72866,0.85761,0.000555336,0.000555336,0.000555336
2,829.319,1.19861,1.18351,0.90101,0.84452,0.65049,0.77883,0.59619,0.87929,2.31682,0.82063,0.00110423,0.00110423,0.00110423
3,1229.31,1.12273,1.09002,0.88698,0.83017,0.68657,0.79084,0.60829,0.86267,1.53826,0.82195,0.00162629,0.00162629,0.00162629
4,1625.73,1.04792,1.01503,0.87388,0.8658,0.68109,0.79998,0.63497,0.78337,1.66967,0.80526,0.00157706,0.00157706,0.00157706
5,2028.64,0.99948,0.95299,0.86516,0.84068,0.69165,0.79496,0.63404,0.78204,1.44777,0.80777,0.00150941,0.00150941,0.00150941
6,2443.3,0.95598,0.90566,0.85899,0.87048,0.69658,0.809,0.65692,0.72025,1.3887,0.80011,0.00142531,0.00142531,0.00142531
7,2856.72,0.92685,0.85886,0.85293,0.85699,0.7046,0.81563,0.65886,0.73497,1.21194,0.80065,0.00132685,0.00132685,0.00132685
8,3263.23,0.89708,0.82424,0.84986,0.85111,0.70022,0.80475,0.65831,0.71154,1.80247,0.79887,0.00121645,0.00121645,0.00121645
9,3657.14,0.87454,0.79537,0.84638,0.84072,0.72742,0.82038,0.67316,0.70569,1.31322,0.79863,0.00109683,0.00109683,0.00109683
10,4048.06,0.85589,0.77158,0.8422,0.84536,0.71692,0.81519,0.66534,0.72009,1.90966,0.79892,0.000970919,0.000970919,0.000970919
11,4481.71,0.7652,0.70833,0.84239,0.85457,0.71988,0.81997,0.67682,0.6787,1.54122,0.79531,0.000841835,0.000841835,0.000841835
12,4876.33,0.7448,0.68246,0.83884,0.86132,0.69545,0.80474,0.66953,0.67967,1.46457,0.79416,0.000712751,0.000712751,0.000712751
13,5272.71,0.7306,0.65934,0.83519,0.84516,0.71331,0.81055,0.67503,0.66396,1.48309,0.79222,0.000586845,0.000586845,0.000586845
14,5680.52,0.71294,0.63548,0.833,0.86081,0.72,0.81475,0.67842,0.66077,1.3719,0.79201,0.000467218,0.000467218,0.000467218
15,6089.19,0.7014,0.61859,0.83014,0.83817,0.72625,0.81048,0.67644,0.66827,1.60828,0.79499,0.000356815,0.000356815,0.000356815
16,6482.63,0.69159,0.60055,0.82934,0.84301,0.713,0.809,0.67499,0.66782,1.36545,0.79562,0.000258355,0.000258355,0.000258355
17,6874.66,0.67624,0.58745,0.82678,0.84815,0.71225,0.80693,0.67637,0.66408,1.21154,0.79467,0.000174262,0.000174262,0.000174262
18,7268.81,0.66946,0.57187,0.82607,0.85134,0.70765,0.80425,0.67371,0.66817,1.16314,0.7951,0.000106608,0.000106608,0.000106608
19,7664.33,0.66109,0.56574,0.82427,0.84922,0.71006,0.80517,0.67354,0.66564,1.35726,0.79397,5.70564e-05,5.70564e-05,5.70564e-05
20,8055.65,0.65693,0.55837,0.82533,0.84771,0.71315,0.80681,0.6752,0.66602,1.32763,0.79429,2.68292e-05,2.68292e-05,2.68292e-05
